Count;IncentiveCondition;Age.Group;Gender;Age;Income;Wealth;DigitSymbol;GainOrientation;LossOrientation;MaintenanceOrientation;ch_G01;ch_G02;ch_G03;ch_G04;ch_G05;ch_G06;ch_G07;ch_G08;ch_G09;ch_G10;ch_G11;ch_G12;ch_G13;ch_G14;ch_G15;ch_G16;ch_G17;ch_G18;ch_G19;ch_G20;ch_G21;ch_G22;ch_G23;ch_G24;ch_G25;ch_G26;ch_L01;ch_L02;ch_L03;ch_L04;ch_L05;ch_L06;ch_L07;ch_L08;ch_L09;ch_L10;ch_L11;ch_L12;ch_L13;ch_L14;ch_L15;ch_L16;ch_L17;ch_L18;ch_L19;ch_L20;ch_L21;ch_L22;ch_L23;ch_L24;ch_L25;ch_L26;ch_M01;ch_M02;ch_M03;ch_M04;ch_M05;ch_M06;ch_M07;ch_M08;ch_M09;ch_M10;ch_M11;ch_M12;ch_M13;ch_M14;ch_M15;ch_M16;ch_M17;ch_M18;ch_M19;ch_M20;ch_M21;ch_M22;ch_M23;ch_M24;ch_M25;ch_M26;rt_G01;rt_G02;rt_G03;rt_G04;rt_G05;rt_G06;rt_G07;rt_G08;rt_G09;rt_G10;rt_G11;rt_G12;rt_G13;rt_G14;rt_G15;rt_G16;rt_G17;rt_G18;rt_G19;rt_G20;rt_G21;rt_G22;rt_G23;rt_G24;rt_G25;rt_G26;rt_L01;rt_L02;rt_L03;rt_L04;rt_L05;rt_L06;rt_L07;rt_L08;rt_L09;rt_L10;rt_L11;rt_L12;rt_L13;rt_L14;rt_L15;rt_L16;rt_L17;rt_L18;rt_L19;rt_L20;rt_L21;rt_L22;rt_L23;rt_L24;rt_L25;rt_L26;rt_M01;rt_M02;rt_M03;rt_M04;rt_M05;rt_M06;rt_M07;rt_M08;rt_M09;rt_M10;rt_M11;rt_M12;rt_M13;rt_M14;rt_M15;rt_M16;rt_M17;rt_M18;rt_M19;rt_M20;rt_M21;rt_M22;rt_M23;rt_M24;rt_M25;rt_M26;Emotion.Pre;Excitement.Pre;Emotion.Post;Excitement.Post;DQgain;DQloss;DQmixed;RKgain;RKloss;RKmixed;medianTimeGain;medianTimeLoss;medianTimeMixed;M.alpha;M.gamma_gain;M.gamma_loss;M.lambda;M.luce
58;PayAll;Older;female;67;$60,001 - $100,000;$250,001 - $500,000;23;4,5;6;2,5;B;B;B;A;B;B;B;A;A;A;A;A;B;B;B;A;B;A;A;A;B;B;A;B;B;B;A;B;A;A;B;B;A;B;A;B;B;A;B;A;A;A;A;B;B;B;A;B;B;B;B;A;B;B;B;A;B;B;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;A;B;16;12;15;11;10;12;17;22;14;32;6;12;14;8;15;17;8;22;14;12;15;6;13;12;11;25;10;15;9;8;13;21;11;10;17;15;10;21;24;10;44;14;12;23;13;17;8;11;23;7;6;10;15;12;10;8;9;8;12;8;8;58;7;16;8;13;5;7;13;8;24;6;5;18;11;13;17;10;5;5;5;5;,72;,8;,48;,6;,48;,56;13,5;12,5;10;,930691722697541;,786823183225611;,80424253694762;1,2315033432826;,0863556588951266
59;PayOne;Younger;other;22;$20,001 - $40,000;$0 - $5,000;46;7,5;7;5,5;B;A;B;B;B;B;B;B;A;B;A;B;B;B;B;B;A;A;B;B;B;B;A;A;B;A;A;A;A;A;B;B;A;B;A;A;B;B;A;A;A;A;B;A;A;B;A;A;A;B;B;A;A;A;B;B;A;B;B;A;B;A;A;B;B;A;B;A;B;A;A;B;B;B;B;B;A;A;5;5;4;6;3;6;3;6;11;6;10;12;4;4;3;7;8;5;7;2;7;6;3;3;3;8;2;3;5;2;5;3;3;4;3;5;4;4;2;10;13;5;3;9;3;3;4;11;1;3;4;4;5;2;6;15;8;19;5;3;2;3;12;16;4;11;6;8;7;6;3;4;7;6;8;4;3;7;7;1;6;1;,8;,68;,76;,52;,6;,6;5,5;4;6;,836268801302231;,763275297345705;,836798222218009;1,0532678442113;,205076338653789
60;PayAll;Older;female;68;$0 - $20,000;$10,001 - $25,000;15;7,5;1;5,5;A;B;B;B;A;B;A;A;B;B;B;A;A;B;A;A;B;A;B;A;B;B;A;B;B;A;A;A;A;B;A;B;A;B;B;B;B;A;A;A;B;A;B;A;B;B;A;B;A;B;B;A;A;B;B;B;A;B;B;A;A;B;B;B;B;A;B;A;A;B;B;A;A;A;A;B;B;A;10;9;5;11;6;9;11;6;14;8;9;12;9;14;11;8;21;9;12;5;4;8;25;15;10;11;19;10;11;13;23;1;14;8;14;12;13;9;15;10;9;7;9;21;11;18;12;8;11;16;14;17;13;8;16;10;8;24;12;9;13;22;9;6;20;24;11;12;14;19;22;7;17;9;10;18;12;13;8;4;7;8;,64;,68;,6;,52;,44;,6;9,5;12;12,5;,87394295165279;,825784000334133;,902903382257366;1,05137332712829;,104359841489691
61;PayOne;Younger;female;29;More than $100,000;$100,001 - $250,000;67;8;1;1;B;A;B;B;B;B;B;A;A;B;A;B;B;B;A;B;A;A;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;B;A;B;A;A;A;A;A;A;A;A;B;B;A;B;B;A;B;A;A;B;B;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;A;A;11;6;6;8;8;6;6;3;6;5;3;6;6;6;8;8;10;4;4;5;5;5;7;8;6;4;4;4;8;5;8;6;7;6;7;11;4;5;4;5;7;4;6;6;5;6;10;4;6;9;7;7;6;6;5;7;8;6;7;6;6;6;10;9;6;6;9;12;6;6;5;5;5;4;6;4;6;5;3;7;5;7;,84;,96;,68;,48;,48;,6;6;6;6;,837182381875328;,703459973640856;,836983836334868;,968494077038145;,267612880564958
62;PayOne;Younger;female;27;$60,001 - $100,000;$100,001 - $250,000;34;7,5;1,5;4;A;A;B;A;B;B;B;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;A;A;A;A;A;B;A;A;A;A;B;A;B;A;A;A;B;A;B;A;A;B;B;A;B;A;A;B;A;A;B;B;B;A;B;B;A;A;A;B;A;A;A;B;A;B;A;A;A;B;B;B;B;A;A;7;12;6;8;8;8;6;6;6;13;7;12;10;4;11;9;7;7;8;5;8;8;5;10;9;8;7;11;9;6;4;11;8;9;5;9;13;7;10;11;8;7;10;4;6;10;3;9;7;14;5;6;11;8;9;9;15;9;12;7;21;12;13;12;10;15;15;10;11;20;9;6;14;12;7;27;12;13;6;4;4;3;,88;,76;,76;,36;,36;,52;8;8;12;,836734590842995;,653892734181518;,837006117039788;1,10313091137455;,346806719221375
63;PayOne;Older;female;74;$0 - $20,000;I do not want to answer;28;8;8;8;B;A;B;B;B;B;B;A;A;B;A;A;A;B;B;B;A;A;B;A;B;B;A;B;B;A;A;B;B;A;A;B;A;A;A;B;A;A;A;A;A;A;A;B;A;B;B;A;B;B;B;A;A;B;B;A;A;B;A;B;B;A;B;B;B;A;B;B;B;A;B;A;B;A;B;A;A;A;22;5;5;16;6;10;17;9;16;10;8;12;8;25;12;9;5;6;7;7;4;7;5;9;4;5;7;9;9;7;4;8;8;12;11;16;6;5;9;12;11;8;5;9;5;7;5;8;5;7;6;13;11;15;12;9;8;16;14;18;14;10;18;11;10;8;9;11;14;16;12;13;9;14;15;9;11;9;3;1;5;4;,84;,64;,6;,48;,48;,36;8;8;11,5;,837935952748567;,731574612258202;,819886311325458;1,19472563957659;,147730191843408
64;PayAll;Older;male;67;$40,001 - $60,000;$100,001 - $250,000;30;5;8;8;A;A;A;A;A;A;B;A;A;B;A;A;B;B;B;B;A;B;B;A;B;B;A;A;B;A;A;B;B;B;A;B;A;B;A;A;A;B;A;A;B;A;A;A;A;A;A;A;B;B;B;A;A;B;B;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A;B;B;B;B;B;B;A;A;8;5;5;2;7;6;7;4;5;3;4;5;4;9;4;3;3;3;4;4;3;13;7;9;8;8;2;3;4;4;2;3;6;6;2;2;3;2;3;2;4;5;3;5;2;3;6;6;9;4;4;4;7;6;4;5;5;3;4;4;5;4;4;7;5;4;6;5;5;2;3;6;5;3;6;5;4;8;5;5;7;5;,76;,56;,6;,56;,48;,6;5;3,5;5;,845448156382286;,698189360592425;,57511575354969;1,05881289970681;,0923055834572798
65;PayAll;Younger;male;19;More than $100,000;$5,001 - $10,000;47;7;5;6,5;A;A;B;B;B;B;A;A;A;B;B;A;B;B;B;B;A;A;B;B;B;A;A;A;B;A;A;A;A;A;A;B;A;B;A;B;B;A;A;A;A;A;A;A;B;A;B;A;A;A;B;A;B;B;B;A;A;B;B;B;A;B;A;A;A;A;A;B;B;B;A;A;B;A;B;B;A;A;5;18;5;5;13;5;11;12;5;11;5;7;8;9;11;9;4;11;8;8;8;12;4;5;14;6;4;7;9;5;8;8;5;3;4;8;8;8;4;6;12;7;5;5;5;5;4;8;10;5;6;4;5;10;9;10;7;12;6;5;5;12;8;5;6;8;5;9;5;3;7;6;6;4;7;4;4;6;6;2;7;3;,8;,76;,56;,36;,36;,4;8;5,5;6;,933373572918021;,660105563495352;,788601293237464;1,12772496014701;,124740305818445
66;PayAll;Younger;female;21;$20,001 - $40,000;$0 - $5,000;47;7,5;1;4;A;A;B;A;B;B;B;A;A;B;A;A;B;A;B;B;A;A;B;A;B;B;A;A;A;A;A;B;B;A;B;B;A;B;A;B;A;A;A;A;A;A;A;A;A;B;A;B;A;B;B;A;A;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;B;B;A;A;B;A;B;B;A;A;6;8;7;5;4;7;5;6;5;22;6;95;6;6;7;5;5;4;4;10;6;4;6;6;8;6;7;5;12;10;9;5;6;6;6;7;5;12;7;7;5;15;5;4;7;4;16;11;8;5;6;5;7;6;17;7;10;10;33;9;7;9;8;6;7;5;7;18;9;9;8;9;18;9;8;9;8;6;5;2;5;3;,84;,8;,68;,4;,48;,52;6;6,5;8,5;,8745511436185;,728716027899181;,879656631651761;1,34747531646399;,255288398211399
67;PayAll;Younger;female;27;More than $100,000;$50,001 - $100,000;31;7;2,5;7;A;B;B;A;B;B;A;A;B;A;A;A;A;B;A;A;A;A;B;A;B;B;B;A;B;A;A;A;A;A;B;B;A;A;B;B;B;A;A;A;B;A;A;A;B;B;B;B;B;A;B;A;A;A;B;B;A;B;B;B;A;B;A;A;A;A;B;A;B;B;B;B;B;B;B;B;A;A;8;5;55;8;87;4;8;4;7;36;107;4;9;4;6;6;4;11;7;4;2;4;6;6;19;6;35;4;15;5;6;9;6;6;8;4;5;10;6;41;59;8;4;8;8;7;6;4;15;4;91;7;11;222;54;48;16;43;10;50;145;33;137;29;11;8;11;58;8;22;25;6;31;42;14;14;27;4;7;4;7;5;,68;,8;,64;,32;,48;,56;6;7;26;,928945443343865;,788217974997979;,908307141463059;1,17232014662622;,115456727482374
68;PayAll;Older;female;69;$0 - $20,000;$50,001 - $100,000;37;8;6;6;A;A;B;A;B;B;A;A;A;B;B;A;B;B;B;A;A;A;B;A;B;B;A;A;A;A;A;A;A;A;B;B;A;B;A;B;A;A;A;A;A;A;A;A;B;B;A;B;A;A;B;A;B;B;B;B;A;B;B;B;B;A;A;A;B;A;B;A;A;B;B;A;B;B;A;B;A;A;17;16;11;6;8;8;10;7;11;10;14;14;20;17;9;10;9;7;7;8;7;11;14;14;19;7;19;15;18;17;11;15;21;6;18;8;15;13;8;13;7;13;13;20;11;21;6;8;12;25;11;11;20;11;9;16;10;11;43;13;19;23;8;13;10;21;19;21;12;33;14;13;8;9;8;8;16;9;9;5;9;5;,84;,96;,8;,32;,48;,48;10;13;13;,963395435108589;,732814579953975;,819211705550558;1,5388355703968;,250858105210107
69;PayAll;Older;male;64;$40,001 - $60,000;$100,001 - $250,000;29;4,5;6,5;7;B;A;B;B;B;B;B;A;A;B;A;B;B;A;B;A;A;A;B;A;A;B;A;B;B;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;B;A;A;B;B;A;B;A;B;B;B;B;A;B;B;B;B;A;A;B;A;A;B;A;B;A;A;B;B;B;A;B;A;A;34;4;4;15;6;6;10;8;6;5;8;24;6;7;7;5;10;4;4;6;8;5;5;6;4;5;5;4;9;6;123;67;5;6;6;5;7;5;6;39;6;13;7;90;16;7;6;4;4;6;33;4;15;11;6;11;8;12;16;15;75;14;14;12;7;21;33;6;14;26;11;7;8;6;65;7;131;8;7;6;7;7;,8;,8;,72;,6;,4;,56;6;6;12;,948247294329782;,829813714600155;,940838133995157;1,21244305761956;,116197954105833
70;PayOne;Older;male;73;$20,001 - $40,000;$10,001 - $25,000;23;8;4,5;7;B;B;A;A;B;B;B;A;B;B;A;A;A;A;B;B;A;A;B;A;A;B;A;A;B;A;A;B;A;A;B;B;A;B;B;B;A;A;A;A;A;B;A;B;B;A;B;B;B;A;B;A;A;B;A;B;B;B;A;B;B;B;B;A;A;A;B;B;B;A;A;A;B;A;A;B;A;A;14;19;23;14;14;19;21;10;13;14;23;17;12;20;19;21;14;13;15;13;15;13;21;11;14;17;13;10;9;15;11;14;15;14;21;15;10;15;11;14;8;11;12;28;10;10;14;12;14;7;18;10;20;12;13;12;15;11;17;9;24;16;2;10;19;15;12;13;18;14;10;10;16;9;17;13;10;10;9;1;9;1;,64;,76;,56;,52;,44;,48;14,5;12,5;13;,837552372234773;,658199076764886;,823300520623052;1,33022920212273;,111310343100554
71;PayOne;Older;male;72;$20,001 - $40,000;$50,001 - $100,000;27;1;4,5;8;B;A;B;A;B;B;A;A;A;B;A;B;A;B;A;A;A;A;B;A;B;B;A;B;B;A;A;B;A;A;B;B;A;B;B;B;B;A;A;A;A;A;B;A;B;B;A;B;B;B;B;A;B;B;B;A;A;B;A;B;A;A;A;A;B;B;B;A;A;A;B;A;A;B;A;B;A;A;11;25;10;13;19;11;12;7;11;10;11;17;28;10;14;8;16;10;9;8;9;12;12;11;12;11;11;29;12;14;16;22;12;8;19;9;14;12;9;17;10;12;21;11;14;19;14;9;35;18;11;16;25;17;13;9;13;18;11;14;26;17;14;22;15;25;16;12;17;13;13;8;17;14;14;26;11;11;9;5;9;5;,72;,8;,72;,44;,48;,48;11;14;14;,838393705266107;,709132717894951;,820022083585271;1,06158846581698;,198704492628532
72;PayOne;Younger;male;36;$60,001 - $100,000;$250,001 - $500,000;28;6;2,5;5,5;B;B;B;A;B;B;B;A;A;B;B;A;A;B;A;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;A;A;B;B;B;A;A;A;A;A;A;A;A;B;B;A;B;B;B;B;A;B;B;B;B;A;B;B;B;B;B;B;B;B;A;A;A;B;A;A;A;A;B;B;B;A;A;28;12;7;7;9;6;33;7;6;7;7;12;11;8;14;9;10;7;5;13;7;5;12;31;6;11;29;7;10;15;8;7;11;12;20;14;14;10;24;9;18;20;25;21;10;13;16;14;19;22;10;9;6;13;6;16;10;43;7;14;9;6;13;8;13;17;10;12;8;11;25;5;10;28;7;6;10;7;7;5;6;4;,76;,88;,76;,4;,48;,52;8,5;14;10;,836418813785549;,769418674307149;,837443867969443;1,14168110363744;,288102813173273
73;PayOne;Older;male;71;$60,001 - $100,000;More than $500'000;39;5;7;7;B;B;B;B;B;B;B;A;A;B;A;B;B;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;B;A;A;A;B;B;A;A;A;A;A;A;A;A;B;A;B;B;A;B;A;B;B;B;B;A;B;B;B;B;B;A;A;A;B;B;A;A;A;A;A;B;B;B;B;A;A;8;23;11;22;28;20;86;7;12;11;45;29;49;61;23;26;9;12;6;8;9;40;19;18;11;31;7;8;2;6;6;9;15;19;26;5;5;12;30;18;24;9;28;10;1;18;7;13;25;30;17;17;1;25;22;6;8;19;20;21;26;18;31;33;30;35;29;28;28;42;9;18;25;19;10;14;14;17;6;3;7;5;,88;,88;,8;,6;,56;,64;19,5;12,5;20,5;,838430616673096;,762836438034173;,827253349205993;,986841864196341;,345115013863146
74;PayOne;Older;female;72;$40,001 - $60,000;$25,001 - $50,000;31;8;4;8;B;B;B;A;B;A;B;A;A;B;B;A;B;B;A;B;A;A;B;B;A;B;A;A;A;A;B;A;B;A;B;B;A;B;A;B;A;A;A;A;A;A;B;A;B;B;B;A;B;A;B;A;A;B;B;A;A;B;B;A;B;B;B;B;A;A;B;A;A;A;B;A;B;A;A;B;A;A;9;26;11;13;9;8;31;11;11;11;10;11;8;8;11;8;7;8;7;10;17;8;19;16;10;11;10;10;11;7;7;12;15;8;11;13;11;7;9;5;9;17;14;9;6;9;11;17;9;10;10;10;16;14;7;22;9;11;7;10;12;9;12;10;8;21;13;6;13;7;9;9;12;10;11;10;10;11;7;3;8;6;,6;,8;,6;,4;,56;,52;10,5;10;10;,837909426066637;,631550341175672;,821163856319598;1,05369300293422;,178368522613946
75;PayOne;Older;female;60;$0 - $20,000;$100,001 - $250,000;35;8;8;1;B;A;B;A;A;B;B;A;A;B;A;B;A;B;B;A;A;A;A;B;B;A;A;B;B;B;A;A;B;A;A;A;A;A;A;A;A;A;A;B;B;A;B;B;B;A;A;A;B;B;B;B;B;B;B;A;A;B;B;A;A;A;A;B;A;A;B;A;B;A;A;A;A;B;A;B;A;A;5;10;3;4;6;3;4;4;4;4;3;5;2;4;3;2;3;3;3;12;3;6;3;3;3;3;3;2;4;6;15;6;13;8;9;6;7;6;20;5;4;3;4;17;10;4;6;5;5;9;10;10;6;4;7;7;3;8;4;3;5;3;4;5;6;10;5;5;3;3;4;11;5;4;4;4;3;6;5;3;6;5;,64;,52;,68;,6;,36;,52;3;6;4,5;,837890504343619;,698981064311522;,822344285618508;1,0525725538805;,102029808765014
76;PayOne;Older;male;67;$40,001 - $60,000;More than $500'000;30;6,5;1;3;A;A;B;B;B;B;B;A;A;B;A;B;B;B;B;B;A;A;B;A;B;B;A;A;B;A;A;A;B;A;B;B;B;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;A;B;A;A;B;B;B;A;B;B;B;B;A;A;A;A;B;B;A;B;A;A;A;A;B;B;B;A;A;7;12;5;7;4;8;12;5;6;10;7;10;12;8;12;6;13;6;6;8;5;6;5;13;6;8;7;6;9;8;11;9;12;6;16;7;12;6;7;6;10;11;10;9;12;9;8;12;10;8;7;12;9;8;7;6;6;14;8;11;8;5;8;7;10;11;7;10;7;7;10;10;7;8;9;9;8;5;8;2;8;3;,92;,8;,88;,48;,56;,64;7;9;8;,838353043766511;,734415569952225;,826382869097881;1,11783102298429;,305320237596626
77;PayAll;Younger;female;26;$40,001 - $60,000;I do not want to answer;44;8;6;3,5;A;A;B;A;B;B;B;A;A;B;B;A;A;B;B;B;A;A;B;A;B;B;A;B;A;A;A;A;A;A;A;B;A;B;A;B;B;A;A;B;A;A;B;A;B;B;B;B;A;A;B;A;B;B;B;A;A;B;A;A;A;A;A;A;A;A;B;A;B;B;A;A;B;A;B;B;A;A;10;4;6;12;4;3;10;6;6;14;4;10;9;7;5;18;4;6;3;2;4;7;7;6;4;6;24;45;52;10;6;12;14;5;14;10;28;7;6;14;5;9;17;26;13;15;31;12;13;5;7;12;29;16;17;14;13;10;49;16;7;15;16;14;14;19;16;28;28;12;27;15;27;10;15;11;10;12;7;1;8;4;,76;,76;,6;,32;,44;,52;6;12,5;15;,970968604965261;,65756534995453;,720357869406487;1,08116040443422;,139247315638417
78;PayOne;Younger;female;24;$20,001 - $40,000;$0 - $5,000;37;8;4,5;1;A;A;B;A;B;A;A;A;A;B;A;A;B;B;B;B;A;A;B;A;B;A;A;A;A;A;A;B;B;A;A;B;A;B;A;B;B;A;A;B;B;A;A;A;B;B;A;B;A;A;B;A;B;B;B;B;B;A;A;B;A;A;A;A;A;A;B;A;B;B;B;A;B;B;B;B;A;A;17;11;9;9;3;15;9;13;7;10;7;9;14;15;10;5;6;9;19;8;16;10;11;11;13;21;9;52;10;14;15;24;8;13;14;66;8;15;7;9;58;9;12;11;22;45;9;16;5;7;6;5;47;16;10;33;12;60;9;23;11;14;17;17;15;8;12;11;18;60;6;21;10;7;8;8;11;16;4;6;7;7;,76;,72;,6;,32;,24;,52;10;11,5;13;,83639964415753;,611985883780871;,836417822191397;1,2282250803446;,166003175346964
79;PayOne;Older;male;78;$20,001 - $40,000;$25,001 - $50,000;22;5,5;7,5;6,5;A;A;B;A;B;B;B;A;A;B;A;A;B;B;B;B;A;A;B;A;B;B;A;A;B;A;A;A;B;A;B;B;A;B;A;A;A;A;A;A;A;A;A;A;B;B;A;B;B;B;B;A;A;B;B;A;A;B;B;B;A;A;B;A;A;A;B;A;A;A;B;A;B;B;B;B;A;A;20;23;10;18;12;7;10;9;10;18;11;20;13;27;18;11;11;11;7;7;24;7;9;12;8;10;9;7;23;10;13;14;11;7;6;20;10;15;9;14;12;9;12;8;24;14;33;11;17;11;9;13;24;13;13;18;9;12;7;17;20;12;18;22;13;12;26;15;17;11;13;9;11;9;8;8;30;10;8;7;9;8;,92;,88;,76;,4;,56;,44;11;11,5;13;,838621136861488;,636508595103294;,818698531410993;1,09437308633572;,436306578078315
80;PayAll;Older;female;70;$20,001 - $40,000;$25,001 - $50,000;23;8;8;6;A;A;B;A;B;A;B;A;A;B;A;A;A;B;B;B;A;A;B;B;B;A;A;A;A;A;A;A;A;A;B;B;A;B;A;B;A;A;A;A;B;A;A;A;A;B;A;B;B;A;B;A;B;B;B;B;A;B;A;B;A;A;B;B;A;A;A;A;B;A;B;A;B;A;B;B;B;A;14;13;8;19;9;8;8;13;31;11;9;10;11;14;9;10;10;14;10;11;7;8;11;23;7;15;5;14;22;24;10;20;15;24;47;15;15;10;25;28;24;26;18;22;32;14;8;15;16;7;11;21;14;13;15;18;11;17;12;10;19;8;39;23;13;12;16;8;15;11;16;17;14;13;11;10;9;18;7;5;7;7;,72;,92;,52;,36;,52;,44;10,5;17;13,5;,940435480817775;,391754248366675;,898944306402751;1,1359203409249;,127645639461557
81;PayOne;Younger;other;24;I do not want to answer;I do not want to answer;46;8;8;8;B;A;B;A;A;B;B;A;A;B;A;A;A;B;B;A;A;A;B;A;B;B;A;A;B;A;A;B;B;A;B;B;A;B;B;B;A;A;A;A;B;A;A;A;B;B;B;A;B;B;B;A;B;B;B;B;A;B;B;B;A;A;A;B;A;A;B;A;A;A;B;A;B;B;B;B;A;A;3;66;4;7;3;4;4;6;5;4;9;25;9;4;9;4;4;3;7;4;16;4;4;6;11;3;10;14;7;5;5;7;4;7;10;4;17;5;8;13;11;4;7;5;5;43;9;6;6;16;5;25;9;6;4;12;4;5;9;4;8;7;6;4;4;6;26;5;33;6;8;5;7;24;4;3;3;4;5;3;7;5;,84;,72;,76;,48;,4;,52;4;7;6;,83644303141893;,725423377730095;,836701956148245;1,05868294273639;,21086351933341
82;PayAll;Older;male;71;More than $100,000;$0 - $5,000;29;8;1;6,5;B;A;A;B;B;A;A;B;B;B;A;B;B;A;A;B;A;B;B;B;A;B;B;B;B;A;A;B;B;A;A;B;A;B;B;B;A;A;A;B;A;A;B;A;A;B;B;B;A;A;B;A;B;B;B;B;A;B;B;B;B;B;A;B;B;A;A;B;B;B;A;A;B;B;B;B;A;A;3;4;4;4;3;5;2;5;3;5;6;6;4;7;9;6;11;2;7;5;3;2;3;11;11;6;3;5;5;3;6;3;5;8;3;7;6;4;9;5;3;4;3;4;6;8;6;3;4;4;5;3;7;4;5;3;3;6;3;6;7;5;7;5;10;4;6;6;5;2;4;7;5;6;5;5;10;6;7;1;9;5;,4;,64;,68;,6;,4;,52;5;4,5;5;,794533867604721;,738136680761288;,884919242081133;1,33003429187872;,101501085371825
83;PayOne;Older;male;71;$40,001 - $60,000;$250,001 - $500,000;25;6;8;4;A;B;B;B;B;A;B;A;A;B;A;A;B;B;B;A;A;A;B;A;B;B;A;A;B;A;A;A;B;A;A;B;A;B;A;B;A;A;A;B;A;A;A;A;B;B;A;B;B;A;B;A;A;B;B;B;A;B;B;B;B;A;B;A;A;A;B;B;B;A;A;A;B;B;B;B;A;A;25;8;11;9;16;13;7;13;14;13;16;20;9;9;18;14;16;15;13;8;15;8;17;16;24;16;10;9;35;15;14;19;29;11;20;14;32;14;15;9;15;17;65;22;11;16;10;8;13;15;27;12;28;17;7;9;14;10;17;10;12;26;5;11;10;11;15;10;8;10;17;33;7;18;7;10;8;19;7;3;5;5;,92;,88;,8;,56;,4;,48;14;15;10,5;,838290961578262;,765790920165263;,825780809434616;1,31129484406365;,340404588418441
84;PayAll;Older;female;70;$20,001 - $40,000;I do not want to answer;12;8;8;8;A;B;B;A;A;B;A;A;A;B;B;A;B;B;B;A;A;A;B;A;A;B;A;A;A;A;A;B;B;A;A;B;B;A;B;B;A;A;A;A;A;A;A;B;B;A;A;B;A;A;B;A;A;A;B;A;B;B;B;B;A;A;A;B;A;B;B;A;A;A;A;A;B;B;B;B;B;A;9;11;11;6;10;6;23;19;11;5;8;16;13;12;12;19;14;5;4;7;5;7;13;9;8;10;9;18;28;8;12;6;11;8;21;6;9;6;21;5;9;5;5;9;5;8;13;11;7;5;5;10;12;8;12;15;9;9;9;9;8;11;10;9;7;5;10;7;7;7;5;14;8;9;6;6;4;6;5;2;5;3;,72;,64;,64;,36;,24;,64;10;8,5;8,5;,890309056162153;,738927706202688;,902886200727776;,826769360563093;,0930852675407651
85;PayOne;Older;male;67;$40,001 - $60,000;$250,001 - $500,000;30;6,5;8;6,5;B;A;B;A;B;B;B;A;B;B;A;B;A;B;B;A;A;A;B;A;B;B;A;B;B;A;A;A;A;B;B;B;A;B;A;B;B;B;A;B;B;B;B;A;A;B;A;A;A;B;A;A;A;B;B;B;A;B;B;A;A;B;A;A;B;A;B;A;B;A;A;A;B;A;B;B;A;A;5;4;6;16;7;23;10;8;9;5;4;10;7;7;9;4;7;8;7;9;7;6;6;5;5;4;11;8;5;9;26;6;9;10;7;6;9;8;11;10;8;10;8;4;14;6;12;8;9;8;5;16;7;8;8;13;7;10;11;12;14;6;13;8;7;16;17;9;4;12;6;9;9;11;9;6;4;9;7;5;7;6;,76;,52;,76;,56;,6;,52;7;8,5;9;,837897988729917;,736230443301663;,815818001827148;1,15571885068177;,159339119933637
86;PayOne;Younger;female;29;$60,001 - $100,000;$5,001 - $10,000;41;6,5;2;6,5;B;A;B;A;B;B;A;A;A;B;B;A;A;B;A;A;A;A;B;A;B;B;A;A;B;A;A;A;A;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;A;B;A;B;B;A;B;A;A;B;B;B;A;B;B;A;B;A;A;B;A;B;B;B;A;A;A;A;B;B;B;B;A;A;12;7;10;18;10;8;13;7;9;9;15;7;10;12;10;13;7;8;9;6;7;7;10;5;8;7;10;9;5;7;5;11;5;8;10;14;8;5;8;10;9;6;7;4;5;8;14;6;5;9;11;6;10;5;6;5;6;7;10;6;6;7;7;5;13;5;5;8;5;8;10;7;5;5;6;6;6;6;8;3;2;1;,76;,84;,76;,32;,6;,68;9;8;6;,83582531298619;,755198023614705;,837617400141471;,933017285466996;,299296500985001
87;PayOne;Older;female;68;$20,001 - $40,000;$100,001 - $250,000;34;7;8;7,5;B;A;B;A;B;B;A;A;A;B;A;A;A;B;A;A;A;A;B;A;B;B;A;B;B;A;A;A;B;A;B;A;A;B;B;A;A;A;A;A;B;B;A;B;B;B;A;B;B;B;B;A;A;B;B;B;A;B;B;B;B;B;A;A;A;B;B;B;A;A;A;A;B;B;B;B;A;A;7;10;9;12;11;9;9;5;9;13;8;11;17;9;9;7;10;7;12;10;6;8;14;10;9;11;7;6;12;13;6;8;7;7;9;9;12;8;9;10;7;9;11;9;10;12;8;10;6;14;12;8;7;9;9;11;7;13;8;8;7;7;6;8;15;9;14;9;9;11;11;7;9;7;9;8;13;10;7;1;7;1;,76;,68;,8;,4;,44;,64;9;9;9;,837927681009986;,749764582692431;,82618391109223;1,04841779186332;,189066134987779
